Time,Treatment
Day 1,control
Day 1,control
Day 1,control
Day 1,control
Day 1,control
Day 1,root
Day 1,root
Day 1,root
Day 1,root
Day 1,root
Day 1,shoot
Day 1,shoot
Day 1,shoot
Day 1,shoot
Day 1,shoot
Day 3,control
Day 3,control
Day 3,control
Day 3,control
Day 3,control
Day 3,root
Day 3,root
Day 3,root
Day 3,root
Day 3,root
Day 3,shoot
Day 3,shoot
Day 3,shoot
Day 3,shoot
Day 3,shoot
Day 7,control
Day 7,control
Day 7,control
Day 7,control
Day 7,control
Day 7,root
Day 7,root
Day 7,root
Day 7,root
Day 7,root
Day 7,shoot
Day 7,shoot
Day 7,shoot
Day 7,shoot
Day 7,shoot
Day14,control
Day14,control
Day14,control
Day14,control
Day14,control
Day14,root
Day14,root
Day14,root
Day14,root
Day14,root
Day14,shoot
Day14,shoot
Day14,shoot
Day14,shoot
Day14,shoot
