"","Groups","Experiment.Group","Experiment.Time","Rat.Sex"
"90245","Control 8 weeks","Control","8 weeks",1
"90248","Control 8 weeks","Control","8 weeks",1
"90252","Control 8 weeks","Control","8 weeks",1
"90265","Control 8 weeks","Control","8 weeks",1
"90266","Control 8 weeks","Control","8 weeks",1
"90229","Control 8 weeks","Control","8 weeks",2
"90232","Control 8 weeks","Control","8 weeks",2
"90237","Control 8 weeks","Control","8 weeks",2
"90239","Control 8 weeks","Control","8 weeks",2
"90217","Control 8 weeks","Control","8 weeks",2
"90559","Training 1 week","Training","1 week",1
"90560","Training 1 week","Training","1 week",1
"90564","Training 1 week","Training","1 week",1
"90567","Training 1 week","Training","1 week",1
"90571","Training 1 week","Training","1 week",1
"90421","Training 1 week","Training","1 week",2
"90422","Training 1 week","Training","1 week",2
"90423","Training 1 week","Training","1 week",2
"90426","Training 1 week","Training","1 week",2
"90430","Training 1 week","Training","1 week",2
"90576","Training 2 weeks","Training","2 weeks",1
"90578","Training 2 weeks","Training","2 weeks",1
"90581","Training 2 weeks","Training","2 weeks",1
"90585","Training 2 weeks","Training","2 weeks",1
"90587","Training 2 weeks","Training","2 weeks",1
"90439","Training 2 weeks","Training","2 weeks",2
"90441","Training 2 weeks","Training","2 weeks",2
"90444","Training 2 weeks","Training","2 weeks",2
"90449","Training 2 weeks","Training","2 weeks",2
"90450","Training 2 weeks","Training","2 weeks",2
"90406","Training 4 weeks","Training","4 weeks",1
"90410","Training 4 weeks","Training","4 weeks",1
"90412","Training 4 weeks","Training","4 weeks",1
"90416","Training 4 weeks","Training","4 weeks",1
"90420","Training 4 weeks","Training","4 weeks",1
"90280","Training 4 weeks","Training","4 weeks",2
"90281","Training 4 weeks","Training","4 weeks",2
"90283","Training 4 weeks","Training","4 weeks",2
"90289","Training 4 weeks","Training","4 weeks",2
"90292","Training 4 weeks","Training","4 weeks",2
"90251","Training 8 weeks","Training","8 weeks",1
"90254","Training 8 weeks","Training","8 weeks",1
"90258","Training 8 weeks","Training","8 weeks",1
"90259","Training 8 weeks","Training","8 weeks",1
"90267","Training 8 weeks","Training","8 weeks",1
"90218","Training 8 weeks","Training","8 weeks",2
"90222","Training 8 weeks","Training","8 weeks",2
"90223","Training 8 weeks","Training","8 weeks",2
"90225","Training 8 weeks","Training","8 weeks",2
"90227","Training 8 weeks","Training","8 weeks",2
