"","Groups","Experiment.Group","Experiment.Time","sex"
"X90585","Training 2","Training","2","1"
"X90576","Training 2","Training","2","1"
"X90560","Training 1","Training","1","1"
"X90581","Training 2","Training","2","1"
"X90559","Training 1","Training","1","1"
"X90567","Training 1","Training","1","1"
"X90578","Training 2","Training","2","1"
"X90564","Training 1","Training","1","1"
"X90571","Training 1","Training","1","1"
"X90587","Training 2","Training","2","1"
"X90252","Control 8","Control","8","1"
"X90265","Control 8","Control","8","1"
"X90439","Training 2","Training","2","2"
"X90292","Training 4","Training","4","2"
"X90416","Training 4","Training","4","1"
"X90280","Training 4","Training","4","2"
"X90283","Training 4","Training","4","2"
"X90441","Training 2","Training","2","2"
"X90289","Training 4","Training","4","2"
"X90281","Training 4","Training","4","2"
"X90422","Training 1","Training","1","2"
"X90420","Training 4","Training","4","1"
"X90423","Training 1","Training","1","2"
"X90412","Training 4","Training","4","1"
"X90410","Training 4","Training","4","1"
"X90406","Training 4","Training","4","1"
"X90430","Training 1","Training","1","2"
"X90449","Training 2","Training","2","2"
"X90450","Training 2","Training","2","2"
"X90421","Training 1","Training","1","2"
"X90444","Training 2","Training","2","2"
"X90426","Training 1","Training","1","2"
"X90245","Control 8","Control","8","1"
"X90229","Control 8","Control","8","2"
"X90267","Training 8","Training","8","1"
"X90248","Control 8","Control","8","1"
"X90225","Training 8","Training","8","2"
"X90259","Training 8","Training","8","1"
"X90227","Training 8","Training","8","2"
"X90239","Control 8","Control","8","2"
"X90258","Training 8","Training","8","1"
"X90266","Control 8","Control","8","1"
"X90218","Training 8","Training","8","2"
"X90223","Training 8","Training","8","2"
"X90237","Control 8","Control","8","2"
"X90232","Control 8","Control","8","2"
"X90222","Training 8","Training","8","2"
"X90251","Training 8","Training","8","1"
"X90254","Training 8","Training","8","1"
"X90217","Control 8","Control","8","2"
