"","Experiment.Group","Experiment.Time","Rat.Sex","Groups"
"90245","Control","8 weeks",1,"Control 8 weeks"
"90248","Control","8 weeks",1,"Control 8 weeks"
"90252","Control","8 weeks",1,"Control 8 weeks"
"90265","Control","8 weeks",1,"Control 8 weeks"
"90266","Control","8 weeks",1,"Control 8 weeks"
"90229","Control","8 weeks",2,"Control 8 weeks"
"90232","Control","8 weeks",2,"Control 8 weeks"
"90237","Control","8 weeks",2,"Control 8 weeks"
"90239","Control","8 weeks",2,"Control 8 weeks"
"90217","Control","8 weeks",2,"Control 8 weeks"
"90559","Training","1 week",1,"Training 1 week"
"90560","Training","1 week",1,"Training 1 week"
"90564","Training","1 week",1,"Training 1 week"
"90567","Training","1 week",1,"Training 1 week"
"90571","Training","1 week",1,"Training 1 week"
"90421","Training","1 week",2,"Training 1 week"
"90422","Training","1 week",2,"Training 1 week"
"90423","Training","1 week",2,"Training 1 week"
"90426","Training","1 week",2,"Training 1 week"
"90430","Training","1 week",2,"Training 1 week"
"90576","Training","2 weeks",1,"Training 2 weeks"
"90578","Training","2 weeks",1,"Training 2 weeks"
"90581","Training","2 weeks",1,"Training 2 weeks"
"90585","Training","2 weeks",1,"Training 2 weeks"
"90587","Training","2 weeks",1,"Training 2 weeks"
"90439","Training","2 weeks",2,"Training 2 weeks"
"90441","Training","2 weeks",2,"Training 2 weeks"
"90444","Training","2 weeks",2,"Training 2 weeks"
"90449","Training","2 weeks",2,"Training 2 weeks"
"90450","Training","2 weeks",2,"Training 2 weeks"
"90406","Training","4 weeks",1,"Training 4 weeks"
"90410","Training","4 weeks",1,"Training 4 weeks"
"90412","Training","4 weeks",1,"Training 4 weeks"
"90416","Training","4 weeks",1,"Training 4 weeks"
"90420","Training","4 weeks",1,"Training 4 weeks"
"90280","Training","4 weeks",2,"Training 4 weeks"
"90281","Training","4 weeks",2,"Training 4 weeks"
"90283","Training","4 weeks",2,"Training 4 weeks"
"90289","Training","4 weeks",2,"Training 4 weeks"
"90292","Training","4 weeks",2,"Training 4 weeks"
"90251","Training","8 weeks",1,"Training 8 weeks"
"90254","Training","8 weeks",1,"Training 8 weeks"
"90258","Training","8 weeks",1,"Training 8 weeks"
"90259","Training","8 weeks",1,"Training 8 weeks"
"90267","Training","8 weeks",1,"Training 8 weeks"
"90218","Training","8 weeks",2,"Training 8 weeks"
"90222","Training","8 weeks",2,"Training 8 weeks"
"90223","Training","8 weeks",2,"Training 8 weeks"
"90225","Training","8 weeks",2,"Training 8 weeks"
"90227","Training","8 weeks",2,"Training 8 weeks"
